                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
138,0.68809,0.47411,0.91785,0.71107,0.7724,0.73782,0.50912,1.0282,0.91585,1.0798,0.000354,0.000354,0.000354
139,0.69205,0.46256,0.92554,0.6168,0.77662,0.71916,0.51267,0.96693,0.98741,1.0606,0.00034925,0.00034925,0.00034925
140,0.68473,0.45604,0.90744,0.61406,0.81749,0.75427,0.5281,1.0517,1.0091,1.0815,0.0003445,0.0003445,0.0003445
141,0.65516,0.43428,0.89867,0.63174,0.8078,0.78145,0.5472,1.0737,0.93736,1.1216,0.00033975,0.00033975,0.00033975
142,0.66911,0.43963,0.90595,0.64805,0.62936,0.69098,0.50237,1.009,0.99811,1.0751,0.000335,0.000335,0.000335
143,0.67271,0.45742,0.90418,0.5682,0.7923,0.68043,0.47197,1.1342,1.27,1.169,0.00033025,0.00033025,0.00033025
144,0.68497,0.45457,0.91534,0.6736,0.64802,0.69188,0.49237,1.0365,1.0612,1.1226,0.0003255,0.0003255,0.0003255
145,0.66777,0.45901,0.90804,0.58104,0.84625,0.69137,0.48012,1.0664,1.0896,1.1187,0.00032075,0.00032075,0.00032075
146,0.67382,0.45308,0.90384,0.62672,0.78767,0.71373,0.48686,1.0986,1.03,1.1494,0.000316,0.000316,0.000316
147,0.67625,0.4541,0.91573,0.64115,0.80539,0.71215,0.52056,1.0144,0.90513,1.085,0.00031125,0.00031125,0.00031125
148,0.67058,0.43615,0.91065,0.69671,0.78087,0.77502,0.54782,1.0245,0.86249,1.0832,0.0003065,0.0003065,0.0003065
149,0.65523,0.42191,0.90434,0.71585,0.77149,0.76749,0.54174,1.0389,0.8473,1.0967,0.00030175,0.00030175,0.00030175
150,0.65791,0.43027,0.90438,0.68574,0.7121,0.69319,0.49141,1.0336,0.91658,1.1087,0.000297,0.000297,0.000297
151,0.6708,0.42871,0.91032,0.71231,0.66361,0.73572,0.52562,1.0475,0.97733,1.0892,0.00029225,0.00029225,0.00029225
152,0.6595,0.42213,0.91017,0.65259,0.81486,0.77511,0.53546,1.0419,0.84346,1.0871,0.0002875,0.0002875,0.0002875
153,0.64324,0.42448,0.90434,0.66533,0.69343,0.72727,0.50801,1.0906,0.94839,1.1178,0.00028275,0.00028275,0.00028275
154,0.63812,0.42107,0.8998,0.7207,0.73759,0.72525,0.51081,1.0548,0.89863,1.1104,0.000278,0.000278,0.000278
155,0.65476,0.432,0.90399,0.64156,0.76188,0.70657,0.50817,1.003,0.9583,1.0889,0.00027325,0.00027325,0.00027325
156,0.64058,0.4164,0.9014,0.60313,0.71549,0.6734,0.48126,1.0068,1.0256,1.0781,0.0002685,0.0002685,0.0002685
157,0.65027,0.4139,0.90552,0.76903,0.70097,0.70359,0.48282,1.0173,0.93984,1.0666,0.00026375,0.00026375,0.00026375
158,0.6569,0.42725,0.90599,0.66698,0.73093,0.69201,0.47757,1.0551,1.0081,1.0838,0.000259,0.000259,0.000259
159,0.62557,0.41168,0.89427,0.67333,0.71037,0.70578,0.47578,1.0633,1.0355,1.0856,0.00025425,0.00025425,0.00025425
160,0.63176,0.41903,0.89123,0.61417,0.74987,0.696,0.49484,1.0195,1.0496,1.0635,0.0002495,0.0002495,0.0002495
161,0.64058,0.41429,0.9042,0.63559,0.76266,0.71658,0.50219,1.0759,0.99643,1.1058,0.00024475,0.00024475,0.00024475
162,0.61824,0.42617,0.89645,0.73346,0.69813,0.74998,0.51841,1.0694,0.95845,1.1157,0.00024,0.00024,0.00024
163,0.63009,0.4146,0.90518,0.59289,0.81568,0.71556,0.49152,1.0624,0.98481,1.1014,0.00023525,0.00023525,0.00023525
164,0.62062,0.40658,0.8914,0.67391,0.72085,0.68025,0.47105,1.067,1.0138,1.1229,0.0002305,0.0002305,0.0002305
165,0.63453,0.40983,0.90478,0.58221,0.81749,0.66925,0.47175,1.0564,1.1407,1.1137,0.00022575,0.00022575,0.00022575
166,0.621,0.39467,0.89972,0.74462,0.69513,0.74642,0.52411,1.0525,0.90079,1.1135,0.000221,0.000221,0.000221
167,0.62927,0.39861,0.89139,0.69623,0.79691,0.75111,0.51565,1.0869,0.88439,1.1352,0.00021625,0.00021625,0.00021625
168,0.60578,0.38615,0.88246,0.7401,0.71973,0.7109,0.51128,1.0416,0.94581,1.0955,0.0002115,0.0002115,0.0002115
169,0.61378,0.38808,0.89278,0.6213,0.74065,0.71742,0.51093,1.0451,1.0885,1.1079,0.00020675,0.00020675,0.00020675
170,0.62858,0.41466,0.89955,0.60304,0.84201,0.72466,0.50501,1.0443,0.93619,1.09,0.000202,0.000202,0.000202
171,0.61007,0.3914,0.88849,0.62318,0.83441,0.73543,0.52334,1.0434,0.99601,1.0893,0.00019725,0.00019725,0.00019725
172,0.62211,0.39929,0.89895,0.68172,0.73095,0.74686,0.5255,1.0348,0.90824,1.0791,0.0001925,0.0001925,0.0001925
173,0.60668,0.38674,0.88815,0.79026,0.73813,0.80021,0.54192,1.0543,0.84459,1.1046,0.00018775,0.00018775,0.00018775
174,0.6312,0.40637,0.89762,0.77889,0.70977,0.78726,0.55652,1.0313,0.85388,1.1013,0.000183,0.000183,0.000183
175,0.61633,0.39562,0.89683,0.67316,0.73542,0.74338,0.51959,1.0537,0.94177,1.1102,0.00017825,0.00017825,0.00017825
176,0.61409,0.39266,0.89867,0.6276,0.80946,0.71966,0.49442,1.0652,0.92587,1.1199,0.0001735,0.0001735,0.0001735
